MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
15.2;12;4039;3.2;;79;;;2.23
17.5;9.1;10921;0;;79;;;2.92
17.1;8.8;10172;6.6;;91;;;2.64
19;9.2;10573;0;;84;;;3.05
21.3;12;13575;0;;92.3;;;4.15
21.1;10.2;14150;0;;92.5;;;3.98
27.3;11;19438;0;;92;;;5.59
26.9;14;16742;0.6;;87.2;;;5.44
29.1;14.9;19852;0;;90.2;;;5.83
26.2;13;17435;0.2;;92;;;4.49
27;13.7;14931;0;;92.2;;;4.35
26;18;10152;1.2;;91.3;;;3.97
20.9;17.4;3213;0;;90;;;1.9
28.4;16.1;16393;0;;89.8;;;5.19
24.1;16.6;11268;0;;90.7;;;3.8
24.9;14;14404;0;;90.6;;;4.78
21.6;14.6;9413;0;;91;;;3.59
22.8;13.2;14821;0;;91.1;;;4.47
24;11;18026;0;;92.2;;;5.19
22;11.3;15211;0.2;;92.3;;;4.38
23.2;11;16499;0;;91.7;;;4.28
23.8;12;15844;0;;91;;;4.56
27.3;13;18710;0;;91.6;;;5.5
26.5;14.7;17252;0;;90;;;5.41
28.7;13.7;19891;0;;92;;;6.01
27.3;14.8;17828;0;;92.1;;;5.65
26.9;14.4;16462;0;;90.2;;;4.69
25.8;15.9;15135;0.2;;92;;;4.95
26.5;14;16079;0;;92.4;;;5.16
27;16.9;13551;0;;91.6;;;4.5
28.2;17.8;14817;0;;84;;;5.34
26;17.9;10524;0.2;;88.8;;;4.19
25;18;9497;0.2;;84.7;;;3.85
27;17;15575;2.6;;64;;;5.51
28;15.6;18096;0;;64;;;6.09
27.4;15.9;16858;0;;64;;;5.82
29;16;19547;0;;64;;;6.41
26.2;15.5;15563;0;;64;;;5.35
24.1;15.6;14259;0;;64.2;;;4.9
25.6;12.9;18389;0;;62;;;5.72
25.2;13.7;16094;0;;63.8;;;5.37
26.2;14.9;16560;0;;63.8;;;5.48
26;15.1;17687;0;;64.8;;;5.67
26;13.2;16555;0;;64.7;;;5.69
29.5;16.4;19367;0;;65.3;;;6.53
27.9;16.4;17482;0;;65.5;;;5.96
28.9;15.8;18807;0;;66.2;;;6.19
27.9;16.6;14560;0;;67.5;;;5.5
27.2;18.9;12744;0;;66;;;5.12
29.4;17.2;17127;0;;65;;;5.79
28.7;18.3;14064;0;;66;;;5.18
31.5;19.3;18172;0;;66;;;6.3
30.1;19;16691;0.8;;80.5;;;5.67
27.7;18.4;15239;0;;83.5;;;5.08
25;16;12505;0;;83;;;4.14
26.5;16;13454;0;;82.5;;;4.21
27.1;17.9;13152;0;;84;;;4.09
28;17.5;17317;0;;85.5;;;4.99
34.8;15;24174;0;;84;;;7.66
32.9;20.4;20824;0;;87;;;6.55
28;17.9;15327;0;;87.3;;;4.68
24;17.5;8138;0;;84.5;;;3.45
26;17.2;10262;0;;86;;;3.59
27.3;19.3;11966;0;;85;;;3.99
35.3;18.1;23760;0;;85;;;7.66
32.8;19;22484;0.2;;87.7;;;6.77
24;16;12286;0;;85.3;;;3.91
25.4;14.6;16781;0;;87;;;4.58
31.8;14;23267;0;;89.9;;;7.17
31.6;17;23737;0;;88.5;;;6.76
25.9;12.6;20476;0;;89;;;5.41
27.7;12.1;21182;0;;89;;;5.81
29.3;14.8;20489;0;;88.2;;;6.03
31.3;16.2;22181;0;;88.5;;;6.56
28.6;15.7;20202;0;;88;;;5.94
31.5;14.3;22319;0;;88.5;;;6.81
31.7;17.4;20266;0;;84;;;6.51
31.9;18.3;20922;0;;85;;;6.28
26.7;16.7;15040;0.2;;86.5;;;4.89
25.7;15.9;14598;0;;85.7;;;4.48
25;15.2;11700;0;;89;;;4.01
24;17.5;10080;0;;85;;;3.44
